country,year,banking_crisis,systemic_crisis,gold_standard,exch_usd,national_currency,exch_sources,domestic_debt_in_default,soreign_extenal_deb_1,soreign_extenal_deb_2,gdp_weighted_default,inflation_annual_percentages_average,independence,currency_crises,inflation_crises,id
Algeria,1874.0,0.0,0.0,0,0.051308,32.0,9,0.0,0.0,0.0,0.0,-3.8,0,0,0.0,43
Algeria,1875.0,0.0,0.0,0,0.051546,32.0,9,0.0,0.0,0.0,0.0,-20.9,0,0,0.0,44
Algeria,1876.0,0.0,0.0,0,0.051867,32.0,9,0.0,0.0,0.0,0.0,-1.8,0,0,0.0,45
Algeria,1877.0,0.0,0.0,0,0.051867,32.0,9,0.0,0.0,0.0,0.0,29.1,0,0,1.0,46
Algeria,1878.0,0.0,0.0,1,0.051948,32.0,9,0.0,0.0,0.0,0.0,-1.5,0,0,0.0,47
Algeria,1879.0,0.0,0.0,1,0.052029,32.0,9,0.0,0.0,0.0,0.0,-16.8,0,0,0.0,48
Algeria,1880.0,0.0,0.0,1,0.052356,32.0,9,0.0,0.0,0.0,0.0,3.9,0,0,0.0,49
Algeria,1881.0,0.0,0.0,1,0.052029,32.0,9,0.0,0.0,0.0,0.0,12.6,0,0,0.0,50
Algeria,1882.0,0.0,0.0,1,0.050761,32.0,9,0.0,0.0,0.0,0.0,-12.4,0,0,0.0,51
Algeria,1883.0,0.0,0.0,1,0.052002,32.0,9,0.0,0.0,0.0,0.0,-1.4,0,0,0.0,52
Algeria,1884.0,0.0,0.0,1,0.052165,32.0,9,0.0,0.0,0.0,0.0,-15.9,0,0,0.0,53
Algeria,1885.0,0.0,0.0,1,0.051894,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,54
Algeria,1886.0,0.0,0.0,1,0.052329,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,55
Algeria,1887.0,0.0,0.0,1,0.052219,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,56
Algeria,1888.0,0.0,0.0,1,0.05184,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,57
Algeria,1889.0,0.0,0.0,1,0.0518,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,58
Algeria,1890.0,0.0,0.0,1,0.052,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,59
Algeria,1891.0,0.0,0.0,1,0.05175,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,60
Algeria,1892.0,0.0,0.0,1,0.05155,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,61
Algeria,1893.0,0.0,0.0,1,0.0517,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,62
Algeria,1894.0,0.0,0.0,1,0.0515,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,63
Algeria,1895.0,0.0,0.0,1,0.05135,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,64
Algeria,1896.0,0.0,0.0,1,0.0516,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,65
Algeria,1897.0,0.0,0.0,1,0.0519,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,66
Algeria,1898.0,0.0,0.0,1,0.05205,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,67
Algeria,1899.0,0.0,0.0,1,0.0518,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,68
Algeria,1900.0,0.0,0.0,1,0.051625,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,69
Algeria,1901.0,0.0,0.0,1,0.051475,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,70
Algeria,1902.0,0.0,0.0,1,0.051425,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,71
Algeria,1903.0,0.0,0.0,1,0.05185,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,72
Algeria,1904.0,0.0,0.0,1,0.0515,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,73
Algeria,1905.0,0.0,0.0,1,0.0514,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,74
Algeria,1906.0,0.0,0.0,1,0.05195,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,75
Algeria,1907.0,0.0,0.0,1,0.05165,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,76
Algeria,1908.0,0.0,0.0,1,0.0515,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,77
Algeria,1909.0,0.0,0.0,1,0.051608,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,78
Algeria,1910.0,0.0,0.0,1,0.051957,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,79
Algeria,1911.0,0.0,0.0,1,0.051775,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,80
Algeria,1912.0,0.0,0.0,1,0.051794,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,81
Algeria,1913.0,0.0,0.0,1,0.05206,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,82
Algeria,1914.0,0.0,0.0,1,0.05136,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,83
Algeria,1915.0,0.0,0.0,0,0.05843,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,84
Algeria,1916.0,0.0,0.0,0,0.05838,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,85
Algeria,1917.0,0.0,0.0,0,0.05714,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,86
Algeria,1918.0,0.0,0.0,0,0.05449,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,87
Algeria,1919.0,0.0,0.0,0,0.1082,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,88
Algeria,1920.0,0.0,0.0,0,0.16892,32.0,9,0.0,0.0,0.0,0.0,3.5,0,0,0.0,89
